Review,Length,Recommended,Early Access
real talk dis game keep hunna real doe arma like woah str flexin tank boi,15,1,0
jogo incrível,2,1,0
play console version first complete good game challenge combat style japanese theme wil say problem game crash still agood game,20,1,0
wolfenstein classic game relised still one mine favorite game time mean game start fps genre even though game year old still fun play play william bj blazkowicz start castle wolfenstein prison try fight way prison difficult sometimes many different level many different boss episode reccomend game every one love retro fps game kill hitler rd episode allways fun,58,1,0
build city live,3,1,0
trine one best game ive ever play good graphic amaze story unlockable ability even play friend coop,17,1,0
overall game positives negative something right control use pad feel strangley detatched actual movement car making game counterintuitive sale go sure would pay full price gift,26,1,0
고전 레인보우 식스 시리즈부터 스와트의 향수를 느낄수 있는 탑다운 전략 게임입니다 다양한 캠페인들과 많은 결정과 생각을 정해진 시간안에 해야하는 인질극 신속하고 정확하게 처리해야하는 폭발물 해체등을 비롯한 여러가지의 미션들 그리고 그 게임플레이는 어떤지 한번 알아봅시다 조작감 먼저 말하자면 일단 이 게임은 스팀에 올라왔지만 플레이 하다보면 원래 모바일을 목표로 만든 게임이라는게 느껴질겁니다 조작감이 약간 에바거든요 예를 들면 요원을 움직이는게 그다지 정확하지가 않거나 가끔가다가 어디 아주 약간 삐죽 튀어나온곳에도 움직임이 막히기도합니다 그다지 지장은 많이주진 않았지만 그래도 짜증나는건 확실하죠 조작감이 에바라면 게임플레이는 어떨까요 다행스럽게도 게임플레이 만큼은 제대로 만들았습니다 플레이에 도움을 주는 스킬과 미션을 깨면서 주는 별점을 통해 무기 방탄복 장비 병과들을 언락할수 있고 요원을 한번도 죽이지 않고 살린다는 전제하에 캐릭터 육성도 가능합니다 또한 각각 미션마다 멈추지 않고 깨기 요원 한명으로 깨기 등의 챌린지가 있어서 다회차 플레이도 가능합니다 캠페인에는 챌린지가 없다는게 약간 흠이지만요 아마 게임 태그에서 보셨겠지만 이 게임은 스팀 창작마당에서 모드를 받으실수 있습니다 무기 모드부터 맵까지 다양한게 많으니 할게 없으실때에는 모드를 깔아보는것도 나쁘지는 않을것 같네요 예 있는데요 사람이 없어요 안타까워라 일단 시야부터 행동까지 다 조작한다는 점에서 암걸리는 상황들이 많았습니다 기껏 고민해가며 시야를 어디에 둘지 바꿔놓으면 그걸 또 몇초만 보다가 다시 가던방향을 봅니다 그럼 그걸 또 바꿔놓다보면 어느새 적 스폰은 달라져 있어서 완전 삽질만 하게됐던 상황들이 너무나 많았습니다 또한 총기들 밸런스가 너무 괴상하다는 것도 꽤나 문제였습니다 분명히 둘다 같은 탄을 사용하는 총기인데 왜 하나는 데미지가 낮고 하나는 높은걸까요 제작자가 아무래도 ar빠인것같습니다 그외에 잡다한 미션을 실패했는데도 캠페인 진행이 된다던가 하는 버그가 있는데 오히려 전 이걸로 꼼수를 써서 그다지 나쁘지는 않았습니다 잘만든 스와트 탑다운 버전같습니다 몇몇 불편사항은 있었지만 플레이하는데 굉장히 큰 지장은 없었고 오히려 대부분은 부드럽게 잘 넘어간거 같습니다 어렵기야 하지만 충분히 할수있는 정도의 적당한 어려움이라 오히려 더 재미있게 한 것 같습니다 하지만 코옵도 해보고싶었는데 사람이 없다는게 참 아쉽네요 유튜브에서 영상들 보면 재밌어보이던데,276,1,0
razortron juego clara inspiración juegos carreras antiguos mantiene estilo propio ¿quizá sé general mayoría juegos juego música fondo razortron hace falta banda sonora consta simple bombo caja alguna cosa prácticamente perfecta juego entretenido vez repetitivo solo logros fáciles desbloquear primeros minutos juego desbloqueas mecánica simple perfecto jugarlo mano precio bien recomendado x,52,1,0
nan,1,1,0
ping win rate overall fun gamem bug glitch physic sometimes kinda annoy stupid,13,1,0
fantastic game everything whoever gang fight street mafia doesnt matter graphic pretty good spend alot time game buy sale everything alright,21,1,0
yea goodthanks,2,1,0
git,1,1,0
ревизор рекомендует ждем обнову груповые баталии,6,1,0
geilstes spiel ever ever ever sieht ja bewertungen gibt problem tutorial iat sche immer tab drücken,16,1,1
krasna hra dobry pribeh opäť potvrdilo ze radovid skurwa dobra grafika rok triss uzivanie elixirov pred bojom caste padanie hry,20,1,0
oh dayum,2,1,0
forest besten survival game ja gespielt hält typ gamer bereit farmen bauen gegner niederemähen einfach erkunden glaubt erforscht findet kleinigkeit seit spiel vollkommen release wurde wurden neue texturen kleine spielmechaniken verbessert tiefer welt einsinken lassen coopmultiplayer modus wurde perfekt ausgearbeitet bietet menge spa freunden vrheadset gibt mölichkeit hautnah geschehen stürzen rund perfekte survival spiel kleinen horrorelementen,56,1,0
게임은 재미있는데 끝나고 보니 스토리가 기억이 안 난다,8,1,0
тир,1,1,0
куб кубе кубе,3,1,0
cool guess,2,1,0
anyone problem get time try change map cat show game crash fix really annoy pay game cant play thanks,19,1,1
wuenos microchipsets,2,1,0
一款不錯玩的值得推薦的小黃遊 題材蠻新穎的且人物立繪也不錯但是cg就比較少了 優點 題材新穎 技能 理性 道具能繼承 缺點 版依然有些許bug存在例如打怪選項按太快有機率畫面卡住，幫派線結局後去找強化npc聊天兩次後結束對話他的立繪卻不會消失。 整體來說是個很不錯的遊戲，喜歡偵探題材與貧乳的推薦購入,10,1,0
epic,1,1,0
great game cant wait till level add ect,8,1,0
team fortress game vielerlei hinsicht viele game derzeitig markt gibt team fortress gibt komplett verschiedene klassen medic heiler sniper gibt große ausfalt waffen könnt pro charakter waffen switchen habt immer primär sekundär nahkampfwaffe anfang habt standartwaffen gut waffen könnt entweder spielen freischalten heißt bekommt woche item länger spielt mehr gekommt gibt gut handelssystem seiten preisen schaun könnt kleidung waffen usw gibt neulige training klassen denen wichtigste beigebracht spiel gibt server joint hilfreiche tipps gibt verschiedene modis zb capture flag king hill frachtbeförderung frachtbeförderungsrennen kontrollpoints arena angriffverteidigen lieblingsmodi mann vs maschine könnt genug informationen vollstopfen videos internet grund warum spielzahl steigt kostenlos worauf wartet,103,1,0
richtig nice,2,1,0
id give fantastic game rating feel like thatd pretty,9,1,0
grande jogo espera k,4,1,0
bestes spiel welt,3,1,0
john palabbaba,2,1,0
güzel,1,1,0
便宜好玩的遊戲 守住一波波的恐龍進攻 再買更好的槍 另外可以扮演恐龍攻擊人類,4,1,0
честно сказать купил игру ради сюжетки сюжетных дыр прохождением mk целом игра хороша часть понравилась,15,1,0
лагает пиздец,2,1,0
dommage quun jeu comme ça niveau bug serieux jaurai voulu connaitre fin vais refaire toute mn jeu repond nul,19,1,0
awesome game game usd good price ive play game since early access month leave early access whenever start clear right away need difficult hard understand tutorial rather easy understandable one understand minute game get addict play every day several time one game thats really difficult slime rancher great game enjoy hour fun relax music great play overall gameplay plus graphic neat new update glass desert give whole new dimension game let interact area oasis think really new great update game pro cute graphic nice grapbics hour fun play content still add developer actually listen player relaxation game many thing new recent update glass desert make game way fun con get boring awhile put new goal itll fine easy survive tarrs ferals dont much damage easily escape id like see danger future somewhat challenge still relax unlock everything easy make money shouldnt stop play awesome game would like see slime already weve list slime right would great afterall say game worth usd matter pro add anything opinion game relax fun developer great sure there lot great hour put game ill continue play long time,183,1,1
good,1,1,1
nice game love pick game,5,1,0
bueno entretenerte rato,3,1,0
first ac ill keep reveiw short complete game ever pros good graphic good voice act animation nice skip animation open world lot parkour con lot bug sometimes mission bore continuous uplay launcher thats far edit soon,36,1,0
best studio love sd pls go,6,1,0
performance issue matchmaking bummer compare bl like play ping counter strike boss sad say boss fight total horse bad franchise bos worth hype maliwan simply add shield boss doesnt make fun maliwan fight do correctly feeling game feel fresh probably use bl felt like gun mechanic well alongside movement feel customize almost endless amount character skill combination alongside weapon perk gear story story fantastic stick franchise know several plot twist didnt expect expect thing give clarity dlcs dlcs really enjoy casino tentacle one cant wait recommend bl budget andor new franchise recommend bl want new experience,96,1,0
nan,1,1,0
เกมก็ดีนะ แต่เล่นแล้วหัวร้อนไอ้,2,1,0
новая операция очень,3,1,0
super fun grind,3,1,0
прикольно часть,2,1,0
best anticheat market although community get little toxic sometimes,9,1,0
несмотря мрачность происходящего начало столетней войны эпидемия чумы сюжет повествует сестре брате которым пришлось столкнуться жуткими жизненными обстоятельствами справится которыми просто конечном итоге получился хороший приключенческий стелс экшен,28,1,0
really happy patch thing actually good,6,1,0
show,1,1,0
best game ever,3,1,0
never ask,2,1,0
dont listen people toaster rig unupdated driver hour gameplay far ive yet see one bug run mediumlow low ill sink large battle actual game great youre new total id personally say good entry series due largely cas simplification campaign mechanic let player focus battle strategy,45,1,0
ещё летней распродаже посоветовал купить игру друг начал проходить дошел середины игры игра показалась скучной ошибся месяц решил её пройти очень понравилось игре замечательный сюжет отличные доп квесты которые могли изменить концовку прекрасный день просыпаетесь небоскрёбе главному герою моргану звонит брат алекс просит явиться тесты башню транстар время тестов происходит непонятная ахинея моргана вырубают газом попытался рассказать кратко спойлеров начале сюжет кажется запутанным середине игры прояснят игре концовок концовку могут влиять некоторые дополнительные квесты также ваш собственный выбор будете проходить советую меньше прокачивать способности тифонов помогать людям которым нужна помощь геймплей просто замечательный игра позволяет пройти момент разными способами например нужно подняться второй этаж задача гравилифт работает можете залезть второй этаж помощью вещей игру прошел вообщем отличный геймлпей игре замечал баги персонажами советую сохраняться чаще другом минусов prey отличный научнофанстастический шутер игра становится интересной конец интересных заданий играли советую покупке p покупать распродажах ближайшая октября рублей,146,1,0
обзор премии стим,3,1,0
nice mk,2,1,0
neues lieblingsspiel,2,1,0
cant recommend enough nonstop fun always different game time,9,1,1
myslales kiedys jak wyglada dzikim zachodzie gra połączenie tf zręcznościowy myśle ze sami aktorzy westernu jak john wayne czy clint eastwood dali jej uwaga mało graczy online zapraszam kuratora grupy może grupa facebooku lub discord przyjdź z przyjaciółmi stworzymy wam własny pokój zabaw,43,1,0
hi̇leler temi̇zlensi̇n,2,1,0
valve cant count,3,1,0
perfection thing would thing,4,1,1
yes buy one great game ever play,7,1,0
pretty good vn overall love humour character nanaru,8,1,0
recommend itfun game,3,1,0
forgotton anne это удачное скрещение пазлплатформера анимационного мультфильма прописанной истории сказкой местами наивной поднимающей недетские темы боюсь игра останется очередным незамеченным шедевром,22,1,0
surely say far favorite platformer game ever well make pretty challenge go stage many different caracters although use normal one due speed able get grade every level ask money well spent game special game really hard super meat boy tight control fumble know die make mistake game stupid allow back keep try impossible level without rag eventually beat sense accomplishment immense,61,1,0
game full copy death streanding everyone understand lose anime lover love game good big tit big as cybertruck water danger zone bid distance mission u need bring bottle another place u cant take u need punch another place place place meter forward maybe hard ds need know placement lot mountain u dont money buy death streanding u buy u game,60,1,0
норм поподпются читеры первых рангах,5,1,0
затягивает балов,2,1,0
норм,1,1,0
game either really fun really really bad free give go,10,1,0
bom jogo experiência audiovisual relaxante gameplay simples fortemente recomendado estressados,10,1,0
yes,1,1,0
nothing market like,3,1,0
fall love reach end game masterpiece,6,1,0
try sébastien loeb end like samir would break car,9,1,0
voy cambiar análisis califiqué positivo horas vuelvo recomendar denle tiempo juego llega ser viciante armar estrategias juego tipos estratégicos gusten enfrentarse persona usar mejor táctica ganar así ajedrez gente paciencia,30,1,0
покупал игру ожидал сюжета « властелина колец » фродо арагорном всеми делами деле middleearth shadow mordor играем талиона капитана совместительству следопыта который ведет дела неким келебримбором сражается против орков минимум спойлеров сразу стоит сказать игра хороша некие огрехи ничто идеально игре вселенная средиземья история кольцо саурона голлума всё это динамичный геймплей игре устраивать охоту орков мчась варгах подчинять орков своей воле захватывать крепости устраивать бунты тд хорошая графика комп гигами оперативки amd rx потянул ультра think dlc великой охотой светлым властелином самых крупных длс позволяют увеличить время пребывания игре длс топ средненький сюжет остальной набор dlc повторяет фишки игры нового вполне выполнимые достижения возможно придется попотеть охотой дамой сердца остальное вполне реально получить итог крутая игра очень крутыми длс сказать прошел вдоль поперек могу уверенностью сказать жалею потраченного времени денег годно,131,1,0
nan,1,1,0
mieux tous fortnite pubg,4,1,1
игра очень сильно затягивает самая интересная халява,7,1,0
good show horror game thing,5,1,0
giffgiffgiffgiff,1,1,0
since warz bug loot easy pvp,6,1,0
best game ive ever play far story may simple pull simply stun must play youre rpg fan simply anyone like good story,22,1,0
work,1,1,0
jogo fabuloso melhor jogo chance jogar fases perfeitas necessidade pagar dinheiro verdade ótimo níveis extra possibilidade cultivar plantas maravilhoso falar descrições almanaque divertidas sinceros parabéns criadores,26,1,0
good,1,1,0
highly recommend puzzle fun quite tricky part well balance arent obvious look p steal,14,1,0
melhor jogo sempre aconçelho comprar,5,1,0
mukkmel,1,1,1
review text hidden,3,1,0
megvédeni országot bármi áron,4,1,0
nice,1,1,0
ryse rome thirdperson action game develop crytekmost us know developer crysisson rome xbox one exclusive title later port pc improve graphic game tell us history roman warrior marius titus legendary roman generalat begin game family cruelly kill fake barbarianshe quickly rise legion rank search people behind familys murder time fight romegenerally battle participation take place wild land britannia various war barbarian faction brutal punishment really look effectivemuch blood tornoff extremitiesi like much magnificent graphic visual effect opinion interest storywith nice cutscenes effective end surprisingly good port consoleit happen rare case atmospherefans ancient rome happy short storyits big minusive complete within hour normal mode lack different terrainsfor example something like desert snowy little variation attack move completely finish rpg elementsi think worth improve conclusion wan say good game everyone estimate ryse rome people like atmosphere ancient rome extreme entertain violenceespecially medium high end game system cause promise magnificent cinematic effectsso use game benchmark pcit necessary buy case saleif crytek announce sequel ryse ill buy,163,1,0
rep,1,1,0
gud,1,1,0
i̇lk oyunuyla kıyaslayalım grafikler ciddi şekilde geliştirilmiş doku kalitesi kadar artırılmış hd oynanış iyileştirilmiş hikaye konusunda konuşmaya gerek yok hikayesi zaten muhteşem oyunun anamenüsü nanosuitin içinden görünüşü olmuş harika sefer adada değiliz artık new yorktayız denizaltı giderken birden patlama oluyor suyun üstüne yüzerek çıkıyoruz uzaylılar saldırmaya başlıyor sağ olsun prophet bizi koruyor denizaltında olanlardan tek sağ kalan oluyoruz prophet bizi alıp güvenli bir yere götürüyor şimdi size üzücü bir haberim var prophet kendi giysisini bize alcatraza veriyor silahıyla kafasına sıkıp intihar ediyor seni unutmayacağız prophet artık nanogiysi bizde prophetin intikamı hemde dünyamızı kurtarmak hadi uzaylıların anasını belleyelim oyunun tema müziğini yapan kişi han zimmer kişi başlangıç yıldızlararası filmlerinin anamüziğini yapan harika bir besteci oyunlarda soundtrack ekstra olarak satılıyor keşke oyunun soundtrackını satın alabilseydim demeyin crytek açgözlü bir şirket değil oyunun içinde ekstra yazan kısımda oyunun soundtrackını istediğiniz kadar dinleyebilirsiniz i̇lk iki oyun olan diğer incelemelerimde sizlere türkçe yama bitte açılmama sorununun çözümünü göstermiştim merak etmeyin oyunda böyle sorunlar yok crytek sefer türkçe dublajı steame eklemiş bitte sorunsuz çalışıyor rahatça alıp oynayabilirsiniz şaşırdığım bir var oyunda yüksekten düşük bir grafik ayarı yok grafik ayarları yüksek yüksek ekstrem ultra gördüğünüz düşük orta ayarlar yok dolayısıyla sistemi yeterli olmayanlar kasma yapacaktır oynanış oynanış mükemmeldi silah çesitliliğimekaniklerifizik mekanikleriyapay zeka ek olarak gelen giysiyi geliştirme gizli öldürme mekanikleri güzelleştirmiş oynanışı grafikler tek kelimeyle yine harikaydı ilk oyunun üstüne iyice güzelleştirilmiş ışık detaylarıgölgelerçözünürlük v çıktığı yılın üstünde bir grafiğe sahipti resmen ben oyunu düşük ayarlarda x çözünürlükte oynamama rağmen yine bana görsel bir şölen sunmayı başardı oyuna genel puanım senaryo grafikler sesler atmosfer new york şehri efsane harap olmuş çeşitli gidiş yolları mevcut oyun türkçe konuşmalar zevkli silah çeşitliliği ek özellikler nanosuit geliştirmeleri hikaye online kapışma oyunu oynarken aşırı gerildim aq bir artı benden gönül isterki crysis ünde incelemesini yazayım malesef steamde yok originden satın aldım ancak orda inceleme yazma yeri yok kusura bakmayın,308,1,0
játékot egy survival és horror közé tenném játékot szinte első pillanattól követtem vettem meg egyszer rászántam magam és bántam meg pro egészen jó grafika folyamatos bug fixek ami valóban kell jól leköt kontra elég sok bug van így értékelésem mindenkinek ajánlom játékot,42,1,1
oyun eski olmasına rağmen iyi animasyonlar v,7,1,0
описать одним словом быстро идеальная игра карточки,7,1,0
отличная игра тебе класика зомбимесилово,5,1,0
первая стрелялка,2,1,0
игра остро нуждается продолжении прошёл сюжетку остался доволен кровь мясо кишки большое колво ̶м̶и̶ш̶е̶н̶е̶й̶ врагов сюжетка пусть короткая зато захватывает очень жду продолжения,23,1,0
tactical shooter thats okay fan shooter game consistency competence warfare ie chaotic shoot call duty oppose side weapon equipment well soldier equipment feel global scale become part mat fifty people main task reshoot enemy carry point special operation game great physical game engine bullet ricochet various nuance like corny run shoot still want think course special operation hesitate buy game,60,1,1
puede decir juego suele divertir algoclaro solo estan compañia solo bien aburres bien terminas cerrando juego finen juego divierteda trailer version final,22,1,1
good adventure game studio style point click nice setting story character voice act though feels bit rush rough around edge still worth play fan genre,25,1,0
norm igra,2,1,0
first one still feel well trading card make,8,1,0
good game,2,1,0
自从 moon 是自己的最爱续作一出便激动不已地买下了今天玩完续作大概因为自己的期待太高又因为自己虽不热爱社交但仅仅是因为自己享受独处并没体验过那极端的孤独感也因为玩到一半猜出了好几处情节而没有了想一探究竟的急迫感所以这部作品总体给我的感悟并不十分深刻 colin的故事也是感动的但因为没有太多的共鸣这里就暂且不提了于我而言缠绕我心的是neil和eva小打小闹的情节小俩口居然还是青梅竹马而neil对eva说的那句 让我的眼泪在眼眶里直打转又默默地念了无数遍 ” kan gao你不要做后妈呀 ” 如果给to moon的剧情和音乐打分finding paradise 的剧情和音乐我会给分和分吧,13,1,0
dire plus juste géniale meilleur tout temps version next gen merci capcom,12,1,0
difficult game game cool,4,1,0
че пацаныдикий запад,3,1,0
doom clásico toda ley diferente primeros jugabilidad estética ambientación tétrica mapas oscuros sprites realistas banda sonora ambiental… doom opta rebajar acción desmedida predecesores potenciar pequeños rompecabezas trampas mapeado diseño niveles auténticamente estelar doom oda acción forma contenida singular tan sólo merece pena ser probado descubierto conversión buena,47,1,0
well fortnite,2,1,0
왜 샀지 이거,3,1,0
planet explorer ive spent k hour explore craft building game world play story mode learn basic control adventure mode vast array world type single player build mode infinite resource use design tweak item creation editor use multiplayer coop play mode due server crash control multiplayer coop lose data mode game free play story mode probably advise use learn control simple fetch quest reward script item youll able craft use item script could buy money find npc selling topic well actually money start game meat enemy kill increase money story lead though race history planet maria crash land story okay though happens well broadcast beforehand main role building colony gather train npc skill help defend colony attack build well defend colony lot defend turret well reliable npcs planet explorer make dig tunnel excavate underground bunker easy even divert flow water colony help game creation engine create almost anything weapon vehicle building even furniture depend inspiration something create used anytime required resource although could craft massive diamond sabre golden crossbow probably wont find resource early story game though game scan engine help find dig spot resource look story quest quite simplistic lovely vibe fun play get use glider fly across landscape quite reward,201,1,0
bom pq sim,3,1,0
ммм хорошая игра,3,1,0
welcome aboard swamp ice breaker,5,1,0
couldnt find stripper hooker comfirmed gtav,6,1,0
просто история двух тян повесть этапы взросления принятия ответственности способность отпустить прошлое принять действительность решать лишь,16,1,0
ez gaem excellent idiot minh nguyen,6,1,0
min play time,3,1,0
nice,1,1,0
commencer exellent jeu incarner hacker amener effectuer tach personne connaisser devais comme detruire monde informatique etait cree apprendrez base fail monde informatique daujourdhuit tout immertion plus total recommande entierement jeu,30,1,0
помойка чсв,2,1,0
nice game,2,1,0
ótimo jogo,2,1,0
сегодня очередной опустошив землю двуногих паразитов вирусов бактерий сравнявших своим неочевидным концом свои жилища грязью рвотой мочей корчившихся жестоких судорогах скребясь запертые века ворота местных лечебниц xcom понял нашей планеты шансы иссохнуть пустошах постядерного апокалипсиса сгнить раковой опухолью облепленной мусором дешевым пластиком задохнуться газовых выделениях фабрик заводов неустанно пожираемого двуногими паразитами многомиллиардного поголовья скота стало легче,56,1,0
война война меняется сюжет игры повествует пятерых героях войны включая собаку тому разрушает жизни атмосфера ужасов войны передана прекрасно однако игра забывает немного разрядить обстановку подкинув небольшой аркадный эпизод радует разработчики чтят историю забывают ознакомить игрока историческими фактами также игре коллекционные предметы собрав которые узнаем какойнибудь интересный факт историю концовка игры невероятно сильная запоминающаясяпростые человеческие желания вернуться семье забыть весь ужас вернуться домой великолепный саундтрек каждая мелодия подобрана идеально мирных моментов жестоких битв приготовьтесь взглянуть другую сторону войны войны правых виноватых учитесь понимать друг друга слов разговаривают вашем языке это урок истории сухая статистика безликие люди герои которых переживаешь которым сочувствуешь valiant hearts great основана реальных событиях именно писем одного французского солдата это первая игра которая заставила пустить слезу конце,120,1,0
tollmacht spaß,2,1,1
это самая лучшая игра которая жанре rpg открытый мир аналогов просто нету кроме elder scroll которая должна выйти конце года предположительно единственный огромный минус это время жестких баталий игра просто сворачивается вообще вылетает бывает успел засейвится смарку определённо рекомендую любителю подобного жанра сыграть затянет сутки беспрерывной игры,47,1,0
it´s fun,2,1,0
thisgame awesome update,3,1,1
несмотря большое количество негативных отзывов стороны англоязычных пользователей игра понравилась множество багов глюков которые необходимо исправить тому далеко дополнения локализованы русский язык это компенсируется отличной атмосферой минусов также отметить очень завышенную цену знаю покупать dlc придется продать душу оплатить общем нравится железная дорога хотите стать машинистом готовы терпеть баги тратить время изучение иностранного языка эта игра поможет ознакомиться основами вождения тяжелого транспорта,62,1,0
解けないステージもウロウロ見回ったり、試行錯誤でオブジェクトの位置を微調整したり、日を置いてプレイするとすんなり解けたりする。 赤ピースのステージは解くまで時間がかかることが多かった。 ストーリーは哲学っぽい用語、要素が主で進んでいくので、正直よく理解できなかったりしましたがそれでも楽しめます。 fpsアクションパズルが好きなら強くお勧め。個人的にportalよりも好きです。 dlcの road gehenna は日本語未対応。 talos principle の続編が開発中らしいので、そのタイミングでdlcも日本語化されないかなー レベルエディターもあります。自分もパズルを作ってみました。,12,1,0
juste excellent commencement dune énorme franchise,6,1,0
garrys mod это искусство движке source сделать угодно,8,1,0
如果不追求大師成就的話，這就是個很休閒又有點魔性的流水線管理的遊戲，一個多小時一關輕輕鬆鬆。但是一旦要達成最高成就，那麼就是一個流水線強迫症末日。每一格空間都要死摳，拆了造造了拆反反復復，本來很好的遊戲性慢慢的被消磨殆盡了。,1,1,0
great game gameplay much well wasteland expect story well enjoy complete much could hour gameplay definitely worth buying playing,19,1,0
favorite game time love,4,1,0
nice game hard,3,1,0
get fobia clown,3,1,0
buenisimooooooooooooo aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa malo empezando juego mismo spoileas final,8,1,0
çocukluğumun oyunudur kendisi gittiğimiz misafirin evindeki bilgisayara yükleyip oynamaya çalışırdım zamanlar süreli versiyonunu indirdiğim aynı şeyleri tekrar edip dururdum baksanız şurda saatim vardır neyse alın oynayın oynattırın parasını gerçekten hakeden bir oyun bakın çıktı zaten adamlar oyun yapacağını iyi biliyor,40,1,0
excelente encanta realista ven trucos realmente sucesor skate falta bastante contenido extra máximo mecánicas skater,15,1,1
çevreye duyarlı olmak i̇çin lütfen yerden aldığınız kenevirlerin tohumunu yere ekin,11,1,0
incredibly epic vibrant adventure play since ipad love ever since,10,1,0
pley,1,1,0
fleiß mühe machst gear gleichzeitig hast zeit welt endecken ort,10,1,0
güzel,1,1,0
loucura total,2,1,0
yufo,1,1,1
good potato,2,1,0
ótimo modo competitivo problema comunidade caso partegráficos bonsótima jogabilidade físicaporém comunidade vezes deixa desejarporém vale pena,16,1,0
couldnt tell game release witcher platinum standard rpgs,8,1,0
作为se早期的作品，真是良心产品！ 虽然不支持网络联机，但是本地分屏合作的乐趣也是不小。（：下分屏看实在蛋疼，由于是第三视角的，半个屏幕里大部分是人物的背部） 本作的游戏故事剧情模式我给，给我一种单线gta的感觉。 游戏系统以及手感我给，实在是键盘操作如渣，用了手柄之后给分，还算可以玩吧。 游戏优化不是非常好（和二代相比）虽然不是满眼狗齿但是色调太单一了；敌人智商和同伴的智商几乎为，一把手枪可以从都到位打过去。 总之，作为一个老游戏，这个游戏非常值得一玩。（不要抱怨万恶的gfwl，好好安装了就没任何问题了）,6,1,0
gutes spiel,2,1,0
one best puzzle ive play awesome relax music cute girl goty good new battlefield,14,1,0
recomendadisimo so gordo trolo,4,1,0
aim lab use practice response time overall aim related thing improve,11,1,1
audience soul player graphic alright music alright difficulty average § bug § bug story alright gameplay fun sometimes camera suck uu,21,1,0
still yet try love animation,5,1,0
€ price quality trapadmiral ackbar thatll pig thatll dojames cromwell shut take moneyphilip fry pc requirement minimum medium high extreme graphic cheap acceptable masterpiece game time hour singleplayer multiplayer story none bad good amazing difficulty simple easy learn hard master hard blackhole fiolasoft studio impossible bug game one big bug bug destroy game bug little bug perfect,57,1,0
die find way kill timei didnt even get tell goodbyei die find way kill time way kill timenow youre go cant ever say goodbyethis feeling go headim think thing shouldnt sayyou circle inside roomi couldnt go another daythis feel go headim think thing shouldnt sayyou circle inside roomi couldnt go go go go,53,1,0
всем приветребята купил щедрой скидке классную игру фанат серии немного разочарован онлайна режиме командный бой остальных режимахнуль людей целый час жди сожалению пришлось вернуть игру дополню личномоё мнение год игра мультиплееру очень классная сочная динамичная прыжкиоружие будущего экзоскелеты атмосфера очень крута минус онлайн режиме командный бой хотелось разные режимы поиграть походу никто играют замечательную игру забросили p порекомендуйте пожалуйста чтонибудь похожее стилистику атмосферу данной игры благодарю заранее подсказку,68,1,0
remaster hitman without doubt way well original hitman sadly dont actual map hitman remaster version,15,1,0
amazing game bring back nostalgia,5,1,0
